DomainRoot,L2 NodeID,L2 NodeName,L3 NodeID,L3 NodeName,PositiveReviewNum,NegativeReviewNum
KitchenRoot,284507,Kitchen & Dining,915194,"Coffee, Tea & Espresso",24838,5646
KitchenRoot,284507,Kitchen & Dining,289814,Cookware,15430,2052
KitchenRoot,284507,Kitchen & Dining,289754,Kitchen Utensils & Gadgets,19665,2415
KitchenRoot,284507,Kitchen & Dining,1267449011,Small Appliance Parts & Accessories,11107,2168
KitchenRoot,284507,Kitchen & Dining,289913,Small Appliances,36818,6966
KitchenRoot,284507,Kitchen & Dining,510136,Storage & Organization,11215,1165
KitchenRoot,284507,Kitchen & Dining,510202,Water Coolers & Filters,8857,2340
KitchenRoot,1063252,Bedding,1199122,Bed Pillows,9668,2453
KitchenRoot,1063252,Bedding,1063274,Sheets & Pillowcases,5062,1395
KitchenRoot,1063252,Bedding,1063270,Mattress Pads,8533,1242
KitchenRoot,1063252,Bedding,562190,"Inflatable Beds, Pillows & Accessories",3265,1137
KitchenRoot,1063278,Home D?cor,542938,Clocks,8389,2488
KitchenRoot,1063278,Home D?cor,554038,Weather Instruments,5303,1375
KitchenRoot,3206324011,"Heating, Cooling & Air Quality",267554011,Air Purifiers,4444,1069
KitchenRoot,3206324011,"Heating, Cooling & Air Quality",3737601,Household Fans,5607,1194
KitchenRoot,3206324011,"Heating, Cooling & Air Quality",267555011,Humidifiers,5514,2607
KitchenRoot,3206324011,"Heating, Cooling & Air Quality",510182,Space Heaters,6818,1698
KitchenRoot,510106,Vacuums & Floor Care,3743521,Vacuums,23066,4390
KitchenRoot,510106,Vacuums & Floor Care,1063922,Carpet Steamers,9750,2543
